dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost
2,2.0,0,0.1,10000,10000,3.0184831019372744,3.030096158326259,-0.011613056388984688,0.005337149048323848,-0.2506432250167947,3.280739383343054,7783,9030,1.5786366378436067
2,2.0,1,0.1,10000,10000,3.0184831019372744,3.026068040826485,-0.007584938889210413,0.00626084804661527,-0.33072876199414836,3.356796802820633,7184,8968,1.5374989532798002
2,2.0,2,0.1,10000,10000,3.0184831019372744,3.0146402932388536,0.0038428086984207965,0.006568365833034577,-0.35867694660940685,3.3733172398482605,6986,8995,1.5933102032518347
2,2.0,3,0.1,10000,10000,3.0184831019372744,3.0404332242420082,-0.02195012230473381,0.005708837422359278,-0.28209769415788166,3.32253091839989,7542,8970,1.6078288130452314
2,2.0,4,0.1,10000,10000,3.0184831019372744,3.0413178704998822,-0.0228347685626078,0.005821231126220308,-0.29182397161911666,3.333141842118999,7469,8987,1.5808832022312114
2,2.0,5,0.1,10000,10000,3.0184831019372744,3.037610866947986,-0.019127765010711784,0.005901305034106294,-0.29881043023962484,3.336421297187611,7417,8968,1.5953014987214607
2,2.0,6,0.1,10000,10000,3.0184831019372744,3.0613162348659593,-0.04283313292868485,0.006456252502257806,-0.3484233677409687,3.409739602606928,7058,9041,1.5893101533172476
2,2.0,7,0.1,10000,10000,3.0184831019372744,3.0246167075147685,-0.0061336055774940945,0.005471529031050638,-0.2618843796306418,3.2865010871454103,7696,9020,1.5267315724072588
2,2.0,8,0.1,10000,10000,3.0184831019372744,3.0034857963492776,0.014997305587996834,0.005739631183798338,-0.28475303294590226,3.28823882929518,7522,8961,1.545431155132308
2,2.0,9,0.1,10000,10000,3.0184831019372744,3.0435923647033336,-0.02510926276605918,0.006322784480229154,-0.33631224941984783,3.3799046141231814,7144,8997,1.5565187134559109
2,4.0,0,0.1,10000,10000,3.365056692217247,3.3846719748613796,-0.01961528264413248,0.005551716796900574,-0.2686640666160205,3.6533360414774,7644,9030,5.591357035364979
2,4.0,1,0.1,10000,10000,3.365056692217247,3.3831519901841007,-0.018095297966853607,0.006380152494744786,-0.34150487914928895,3.7246568693333897,7107,8968,5.4541871639994
2,4.0,2,0.1,10000,10000,3.365056692217247,3.3711624375537133,-0.0061057453364661285,0.0066276926399327345,-0.3641312446151872,3.7352936821689005,6948,8995,5.6677556493222685
2,4.0,3,0.1,10000,10000,3.365056692217247,3.4019882863582778,-0.036931594141030644,0.0060584981524545,-0.3126580585219596,3.7146463448802374,7315,8970,5.65867230570389
2,4.0,4,0.1,10000,10000,3.365056692217247,3.3942284133767746,-0.029171721159527486,0.005540926730857143,-0.26774873474433214,3.6619771481211068,7651,8987,5.585362616234196
2,4.0,5,0.1,10000,10000,3.365056692217247,3.3921526126848547,-0.02709592046760756,0.005785819511637857,-0.28874930841220525,3.68090192109706,7492,8968,5.6386582426509975
2,4.0,6,0.1,10000,10000,3.365056692217247,3.412059828672576,-0.04700313645532894,0.0068064078331712165,-0.3806749393009472,3.7927347679735233,6834,9041,5.616515333502825
2,4.0,7,0.1,10000,10000,3.365056692217247,3.3785611684050707,-0.013504476187823578,0.005708837422359278,-0.28209769415788166,3.6606588625629524,7542,9020,5.402751551548599
2,4.0,8,0.1,10000,10000,3.365056692217247,3.3583982991901813,0.006658393027065834,0.005896684618314822,-0.29840603581475733,3.6568043350049386,7420,8961,5.469669764761965
2,4.0,9,0.1,10000,10000,3.365056692217247,3.3974205376304987,-0.032363845413251546,0.00628251652978338,-0.3326794383825167,3.7300999760130154,7170,8997,5.499904981404013
2,8.0,0,0.1,10000,10000,3.71163028249722,3.752251243158285,-0.04062096066106502,0.00623300243508171,-0.3282263277673625,4.080477570925647,7202,9030,18.41870089393916
2,8.0,1,0.1,10000,10000,3.71163028249722,3.741885316217558,-0.030255033720337998,0.006524722128905108,-0.3546769412760593,4.096562257493617,7014,8968,18.006921919092
2,8.0,2,0.1,10000,10000,3.71163028249722,3.730726023072071,-0.019095740574851305,0.006662092954139758,-0.3673026470138172,4.098028670085888,6926,8995,18.67559381538178
2,8.0,3,0.1,10000,10000,3.71163028249722,3.7639313574887456,-0.05230107499152581,0.006262395476514876,-0.3308679699013819,4.0947993273901275,7183,8970,18.5939500564876
2,8.0,4,0.1,10000,10000,3.71163028249722,3.754596884378296,-0.04296660188107637,0.005494668445916998,-0.26383534597750113,4.018432230355797,7681,8987,18.398677355441905
2,8.0,5,0.1,10000,10000,3.71163028249722,3.7553938569906533,-0.04376357449343349,0.006209809115454439,-0.32614573890391085,4.081539595894564,7217,8968,18.554435217066263
2,8.0,6,0.1,10000,10000,3.71163028249722,3.7836811001479065,-0.07205081765068666,0.006796972150108953,-0.3797973613595875,4.163478461507494,6840,9041,18.495000267151276
2,8.0,7,0.1,10000,10000,3.71163028249722,3.7434285430647254,-0.031798260567505565,0.005919787940797441,-0.30042964527428495,4.04385818833901,7405,9020,17.813617962306925
2,8.0,8,0.1,10000,10000,3.71163028249722,3.7147805651220223,-0.0031502826248024363,0.006302646092825823,-0.3344941942375854,4.049274759359608,7157,8961,18.04284554691118
2,8.0,9,0.1,10000,10000,3.71163028249722,3.7521019838723886,-0.040471701375168756,0.006464026467160805,-0.3491320347680045,4.101234018640393,7053,8997,18.12586363394427
2,16.0,0,0.1,10000,10000,4.0582038727771925,4.118375008045961,-0.06017113526876816,0.006307292618337095,-0.33491345215722035,4.453288460203181,7154,9030,56.986201724887295
2,16.0,1,0.1,10000,10000,4.0582038727771925,4.106195541423736,-0.04799166864654314,0.006560568022827633,-0.35796148546419815,4.464157026887934,6991,8968,55.78835902996699
2,16.0,2,0.1,10000,10000,4.0582038727771925,4.101927414746505,-0.04372354196931205,0.006426726377087897,-0.34573500390039946,4.447662418646904,7077,8995,57.77039180235974
2,16.0,3,0.1,10000,10000,4.0582038727771925,4.1279986402783235,-0.069794767501131,0.006152639804559827,-0.3210320521333365,4.44903069241166,7254,8970,57.46036005327227
2,16.0,4,0.1,10000,10000,4.0582038727771925,4.112726594996445,-0.054522722219252806,0.006073922896827475,-0.31402604779138343,4.426752642787829,7305,8987,56.93622843573468
2,16.0,5,0.1,10000,10000,4.0582038727771925,4.117959158301828,-0.05975528552463505,0.006422066478409216,-0.3453111852884181,4.463270343590246,7080,8968,57.37594022332266
2,16.0,6,0.1,10000,10000,4.0582038727771925,4.152091908459778,-0.09388803568258552,0.006727880882843884,-0.37338521464475427,4.525477123104532,6884,9041,57.21816184675092
2,16.0,7,0.1,10000,10000,4.0582038727771925,4.116223489224662,-0.05801961644746978,0.006389462879011826,-0.34234947379409064,4.458572963018753,7101,9020,55.15199247411396
2,16.0,8,0.1,10000,10000,4.0582038727771925,4.081060178570365,-0.022856305793172105,0.006568365833034577,-0.35867694660940685,4.4397371251797715,6986,8961,55.87824887551544
2,16.0,9,0.1,10000,10000,4.0582038727771925,4.120724967852339,-0.06252109507514625,0.006512263041608411,-0.3535370152478059,4.474261983100145,7022,8997,56.10753754884157
4,2.0,0,0.1,10000,10000,6.739002161650916,7.977288965950137,-1.2382868042992214,0.009829454080399314,-0.676093425994118,8.653382391944255,5086,9052,11.448675779906203
4,2.0,1,0.1,10000,10000,6.739002161650916,8.21634519436085,-1.4773430327099337,0.011265510700208406,-0.8193909071341974,9.035736101495047,4407,8979,11.531969000899364
4,2.0,2,0.1,10000,10000,6.739002161650916,8.11086472633361,-1.3718625646826936,0.010420848138623057,-0.7352199569818545,8.846084683315464,4794,8995,11.506864444266004
4,2.0,3,0.1,10000,10000,6.739002161650916,8.063919567738049,-1.324917406087133,0.011306738393784965,-0.8234836822879501,8.887403250025999,4389,8996,11.88759320382028
4,2.0,4,0.1,10000,10000,6.739002161650916,8.239543737052168,-1.500541575401252,0.010242950394631677,-0.7174398731289902,8.956983610181158,4880,9069,11.537803027317718
4,2.0,5,0.1,10000,10000,6.739002161650916,8.134121250150267,-1.3951190884993512,0.01030876457499667,-0.7240188442270341,8.858140094377301,4848,9017,11.59746166393564
4,2.0,6,0.1,10000,10000,6.739002161650916,8.22046431023501,-1.4814621485840949,0.011600715032117296,-0.852611955210973,9.073076265445984,4263,9023,11.454968380015561
4,2.0,7,0.1,10000,10000,6.739002161650916,7.9295417976641005,-1.1905396360131846,0.010661857890406046,-0.7592869830644915,8.688828780728592,4680,8985,11.456231802240435
4,2.0,8,0.1,10000,10000,6.739002161650916,8.148229185648072,-1.4092270239971558,0.010443840435992764,-0.7375171282958863,8.885746313943958,4783,8965,11.674623112859074
4,2.0,9,0.1,10000,10000,6.739002161650916,7.988006420833017,-1.249004259182101,0.01008233897393455,-0.7013809854870505,8.689387406320067,4959,9051,11.562749441957106
4,4.0,0,0.1,10000,10000,7.778722932490833,9.14489254437915,-1.366169611888317,0.008011033271669134,-0.495772821139699,9.64066536551885,6091,9052,169.71506801563118
4,4.0,1,0.1,10000,10000,7.778722932490833,9.27799924343334,-1.4992763109425074,0.008493919528813279,-0.5431766539836502,9.82117589741699,5809,8979,171.36117261174297
4,4.0,2,0.1,10000,10000,7.778722932490833,9.36498753847883,-1.5862646059879975,0.008722805702312925,-0.5658099320987517,9.930797470577582,5679,8995,171.06911595913652
4,4.0,3,0.1,10000,10000,7.778722932490833,9.327905628673768,-1.5491826961829354,0.008572667700657637,-0.550953414856771,9.87885904353054,5764,8996,175.9720359292722
4,4.0,4,0.1,10000,10000,7.778722932490833,9.296953677610256,-1.518230745119423,0.008092015910509922,-0.5036845156146246,9.80063819322488,6043,9069,171.06864154210677
